# values, errors, pulls
3.266209187646019751e-01,1.469321018716769275e-02,1.839318632019353306e+00
2.892541402333431155e-01,1.490550408018472689e-02,-6.937895702281133836e-01
2.863463611599921244e-01,1.301611714005721475e-02,-1.017896673839976396e+00
3.199792758963081463e-01,1.009767572294740026e-02,2.018667756067577201e+00
2.941180712560287347e-01,1.299270049073547421e-02,-4.215715009396848179e-01
2.743483586850812839e-01,1.257362216798922454e-02,-2.007938880361958667e+00
3.106667867141345019e-01,1.029192704436156756e-02,1.075732772224816669e+00
3.149354159567382405e-01,1.427905221105739940e-02,1.074300466643815621e+00
3.031475026803979733e-01,9.261691992230872833e-03,3.835237859572257491e-01
2.711260389297419637e-01,1.052812236334914331e-02,-2.704127439906520269e+00
2.994874460516977477e-01,1.493137255135807730e-02,-7.231582434817711638e-03
2.960849526562011613e-01,1.235594970325419942e-02,-2.841117786390915945e-01
2.936706020864360833e-01,1.295785516512082056e-02,-4.572378176196832955e-01
2.860366586654625176e-01,1.180507539577649832e-02,-1.148553853587099383e+00
2.978333847370405740e-01,1.428340131321128963e-02,-1.233626870441225931e-01
2.908655290219274714e-01,1.141688357288049051e-02,-7.646477627202286076e-01
2.960544659733062578e-01,1.382056563340304696e-02,-2.562093060289398760e-01
3.100117377258307383e-01,1.357072624536152620e-02,7.675576114596789346e-01
3.174565752495254189e-01,1.392761757403120776e-02,1.282426922725149243e+00
3.072583986344631368e-01,1.427102190515386337e-02,5.369605051568064891e-01
2.926185321800319206e-01,1.595109088896160682e-02,-4.373927383213683795e-01
3.418341722234073399e-01,1.667873957217949968e-02,2.532490452137919679e+00
2.922843476580285760e-01,1.430902894071544272e-02,-5.109414395225719829e-01
3.149235704550054638e-01,1.011481900277703266e-02,1.515414852962691628e+00
2.807942855462750575e-01,9.493922372641201007e-03,-1.980334072571771964e+00
2.622480546291768855e-01,1.247983459055078577e-02,-2.992617298170671791e+00
3.010116539394929736e-01,1.409567503495468693e-02,1.004726934193015953e-01
2.852920218078590642e-01,1.309978292032603839e-02,-1.091880818354263871e+00
2.818650119431281853e-01,1.115142577014733086e-02,-1.589968128336062270e+00
3.152809905558093262e-01,1.408367008289411124e-02,1.113741443836645528e+00
2.997736427836040773e-01,1.618300509066981918e-02,1.101274327219733430e-02
3.191451940626258144e-01,1.614273099747444776e-02,1.211057197355053239e+00
2.920671434252289922e-01,1.508386705086795995e-02,-4.990948310901269780e-01
2.966380781866967409e-01,1.221822833018306777e-02,-2.420437101478538910e-01
3.267518915134179913e-01,1.444728351095680464e-02,1.879693714714927966e+00
3.138726324272101964e-01,1.508126516288868686e-02,9.466850937131624510e-01
3.196644127053960283e-01,1.233599503328735268e-02,1.626864241439312853e+00
3.169276903395553679e-01,1.306451828140598424e-02,1.326667119525988925e+00
2.842535975251489488e-01,1.268847863142430477e-02,-1.209114695596628097e+00
3.159835420445620269e-01,1.159871702969781683e-02,1.412925110547430974e+00
2.966135997645121813e-01,1.118847184246826373e-02,-2.665085796022232389e-01
3.247971561544351626e-01,1.218577609802551191e-02,2.068127007138329532e+00
2.911538912679082491e-01,1.116828177324825401e-02,-7.558487873649367694e-01
2.773366223000675035e-01,1.253183223112567558e-02,-1.776180912142721890e+00
3.074981598217773615e-01,1.347304825182377153e-02,5.865588967618923233e-01
3.207096535075510402e-01,1.113142508347638067e-02,1.896812838072762686e+00
2.862382079630073628e-01,1.279475044060848082e-02,-1.043960615110307355e+00
3.012520680976577547e-01,1.556215424466561408e-02,1.064534233785627976e-01
2.999924376590043518e-01,1.017952578934798631e-02,3.900124269560036744e-02
3.181425593677332242e-01,1.588416718608477371e-02,1.167649247661750822e+00
3.031267677964284979e-01,1.160026104765205651e-02,3.044193814910216567e-01
3.054443903308677322e-01,1.089132706099284198e-02,5.370297664320328179e-01
3.234503715614379660e-01,1.331154593320482867e-02,1.792049411688946270e+00
2.942246969738576134e-01,1.369869570714048364e-02,-3.920611599913668144e-01
